Shear Rate 1/s,Shear Stress Pa,Viscosity Pas,Target Shear Rate 1/s,Percentage Deviation %,Temperature ℃,Time s,Thrust g,Accumulated Time s,Torque Nm,Angular Velocity rad/s,Notes
0.01,13.596209851975104,1359.6209851975104,0.01,0.0,5.0,0,,0,,,example
0.016237767391887217,13.89135998924006,855.4969198647667,0.016237767391887217,0.0,5.0,10,,10,,,example
0.026366508987303583,14.241085408959094,540.1202493593933,0.026366508987303583,0.0,5.0,20,,20,,,example
0.04281332398719394,14.655477454753262,342.31113330833455,0.04281332398719394,0.0,5.0,30,,30,,,example
0.06951927961775606,15.146493428814953,217.8747178062869,0.06951927961775606,0.0,5.0,40,,40,,,example
0.11288378916846889,15.728301620431417,139.3318007509328,0.11288378916846889,0.0,5.0,50,,50,,,example
0.18329807108324356,16.417690132646072,89.56826460650582,0.18329807108324356,0.0,5.0,60,,60,,,example
0.29763514416313175,17.234551303770374,57.90496062630371,0.29763514416313175,0.0,5.0,70,,70,,,example
0.4832930238571752,18.202455701751987,37.66339426230007,0.4832930238571752,0.0,5.0,80,,80,,,example
0.7847599703514611,19.349332254034078,24.656370081374465,0.7847599703514611,0.0,5.0,90,,90,,,example
1.2742749857031335,20.70827413808515,16.25102459863364,1.2742749857031335,0.0,5.0,100,,100,,,example
2.06913808111479,22.31849368660902,10.786372301738547,2.06913808111479,0.0,5.0,110,,110,,,example
3.359818286283781,24.22645386127015,7.210644087560606,3.359818286283781,0.0,5.0,120,,120,,,example
5.455594781168514,26.48720894366255,4.855054307752188,5.455594781168514,0.0,5.0,130,,130,,,example
8.858667904100823,29.165993129223892,3.292367819288324,8.858667904100823,0.0,5.0,140,,140,,,example
14.38449888287663,32.34010286304776,2.2482606538032104,14.38449888287663,0.0,5.0,150,,150,,,example
23.357214690901213,36.10112723248356,1.5456092565072295,23.357214690901213,0.0,5.0,160,,160,,,example
37.92690190732246,40.55759077460851,1.069362081662097,37.92690190732246,0.0,5.0,170,,170,,,example
61.584821106602604,45.83808495690706,0.7443081612198219,61.584821106602604,0.0,5.0,180,,180,,,example
100.0,52.094978690181776,0.5209497869018178,100.0,0.0,5.0,190,,190,,,example
100.0,34.19094993440996,0.3419094993440996,100.0,0.0,5.0,200,,200,,,example
61.584821106602604,30.427601422735684,0.4940763141954389,61.584821106602604,0.0,5.0,210,,210,,,example
37.92690190732246,27.20500427959859,0.7173009898376693,37.92690190732246,0.0,5.0,220,,220,,,example
23.357214690901213,24.445458541344575,1.046591336546103,23.357214690901213,0.0,5.0,230,,230,,,example
14.38449888287663,22.082428865813093,1.535154546961668,14.38449888287663,0.0,5.0,240,,240,,,example
8.858667904100823,20.058940300272816,2.264329187798902,8.858667904100823,0.0,5.0,250,,250,,,example
5.455594781168514,18.326204559681088,3.3591579460664898,5.455594781168514,0.0,5.0,260,,260,,,example
3.359818286283781,16.842443693494875,5.012903156772779,3.359818286283781,0.0,5.0,270,,270,,,example
2.06913808111479,15.571882778491274,7.525782315166519,2.06913808111479,0.0,5.0,280,,280,,,example
1.2742749857031335,14.483887350438115,11.366375007703724,1.2742749857031335,0.0,5.0,290,,290,,,example
0.7847599703514611,13.552224777249943,17.269261034275832,0.7847599703514611,0.0,5.0,300,,300,,,example
0.4832930238571752,12.754431764614974,26.390680467144954,0.4832930238571752,0.0,5.0,310,,310,,,example
0.29763514416313175,12.071272744036147,40.55728290413167,0.29763514416313175,0.0,5.0,320,,320,,,example
0.18329807108324356,11.48627608449312,62.66446786162145,0.18329807108324356,0.0,5.0,330,,330,,,example
0.11288378916846889,10.985336945335533,97.31545181337691,0.11288378916846889,0.0,5.0,340,,340,,,example
0.06951927961775606,10.556377194802995,151.848195965868,0.06951927961775606,0.0,5.0,350,,350,,,example
0.04281332398719394,10.1890541944753,237.9879263175872,0.04281332398719394,0.0,5.0,360,,360,,,example
0.026366508987303583,9.8745114281616,374.50962631862,0.026366508987303583,0.0,5.0,370,,370,,,example
0.016237767391887217,9.605164962647564,591.5323659240578,0.016237767391887217,0.0,5.0,380,,380,,,example
0.01,9.374520591660664,937.4520591660664,0.01,0.0,5.0,390,,390,,,example
